date,SA4_code,Persons Total Statistical Area Level 4,Total selected
2011,101,59814,59814
2011,102,92445,92445
2011,103,60219,60219
2011,104,37665,37665
2011,105,34173,34173
2011,106,71610,71610
2011,107,85538,85538
2011,108,54345,54345
2011,109,32058,32058
2011,110,53811,53811
2011,111,99974,99974
2011,112,65850,65850
2011,113,47023,47023
2011,114,38833,38833
2011,115,68345,68345
2011,116,99869,99869
2011,117,87330,87330
2011,118,82951,82951
2011,119,165652,165652
2011,120,80156,80156
2011,121,117033,117033
2011,122,69933,69933
2011,123,75362,75362
2011,124,89201,89201
2011,125,128921,128921
2011,126,52149,52149
2011,127,120433,120433
2011,128,60919,60919
2011,197,17,17
2011,199,4483,4483
2011,201,43492,43492
2011,202,41188,41188
2011,203,73130,73130
2011,204,44593,44593
2011,205,70196,70196
2011,206,158213,158213
2011,207,109684,109684
2011,208,114066,114066
2011,209,132987,132987
2011,210,98793,98793
2011,211,138776,138776
2011,212,206702,206702
2011,213,194435,194435
2011,214,77276,77276
2011,215,40738,40738
2011,216,36074,36074
2011,217,34171,34171
2011,297,3,3
2011,299,3038,3038
2011,301,59006,59006
2011,302,52316,52316
2011,303,99074,99074
2011,304,57713,57713
2011,305,72261,72261
2011,306,66545,66545
2011,307,33821,33821
2011,308,62709,62709
2011,309,151443,151443
2011,310,86878,86878
2011,311,87301,87301
2011,312,47631,47631
2011,313,60581,60581
2011,314,49087,49087
2011,315,25458,25458
2011,316,83890,83890
2011,317,42831,42831
2011,318,67135,67135
2011,319,73480,73480
2011,397,132,132
2011,399,2960,2960
2011,401,86744,86744
2011,402,115529,115529
2011,403,96223,96223
2011,404,61390,61390
2011,405,26923,26923
2011,406,24443,24443
2011,407,46585,46585
2011,497,0,0
2011,499,829,829
2011,501,44707,44707
2011,502,22680,22680
2011,503,51868,51868
2011,504,66199,66199
2011,505,146166,146166
2011,506,134886,134886
2011,507,106135,106135
2011,508,69901,69901
2011,509,35253,35253
2011,597,79,79
2011,599,1949,1949
2011,601,62083,62083
2011,602,38802,38802
2011,603,9062,9062
2011,604,29508,29508
2011,697,20,20
2011,699,312,312
2011,701,42246,42246
2011,702,30463,30463
2011,797,16,16
2011,799,403,403
2011,801,114663,114663
2011,897,3,3
2011,899,194,194
2011,901,1388,1388
2011,997,3,3
2011,999,6,6