date,SA4_code,15 years and over Persons Total Statistical Area Level 4,Total selected
2011,101,168007,168007
2011,102,251489,251489
2011,103,155585,155585
2011,104,105824,105824
2011,105,89321,89321
2011,106,192222,192222
2011,107,223235,223235
2011,108,165191,165191
2011,109,89101,89101
2011,110,139761,139761
2011,111,281096,281096
2011,112,185264,185264
2011,113,118179,118179
2011,114,112052,112052
2011,115,165884,165884
2011,116,231503,231503
2011,117,237361,237361
2011,118,211632,211632
2011,119,421210,421210
2011,120,220839,220839
2011,121,305663,305663
2011,122,190393,190393
2011,123,182362,182362
2011,124,227234,227234
2011,125,316377,316377
2011,126,134976,134976
2011,127,281518,281518
2011,128,170023,170023
2011,197,109,109
2011,199,11739,11739
2011,201,118449,118449
2011,202,113869,113869
2011,203,203122,203122
2011,204,129014,129014
2011,205,207842,207842
2011,206,441210,441210
2011,207,282957,282957
2011,208,308606,308606
2011,209,353150,353150
2011,210,252714,252714
2011,211,388077,388077
2011,212,527038,527038
2011,213,486839,486839
2011,214,220205,220205
2011,215,118603,118603
2011,216,99273,99273
2011,217,96966,96966
2011,297,40,40
2011,299,7269,7269
2011,301,168120,168120
2011,302,156473,156473
2011,303,257356,257356
2011,304,138256,138256
2011,305,192672,192672
2011,306,176522,176522
2011,307,95165,95165
2011,308,164467,164467
2011,309,413260,413260
2011,310,216526,216526
2011,311,223144,223144
2011,312,131257,131257
2011,313,170564,170564
2011,314,128378,128378
2011,315,62770,62770
2011,316,248834,248834
2011,317,110091,110091
2011,318,171915,171915
2011,319,219169,219169
2011,397,452,452
2011,399,11485,11485
2011,401,231886,231886
2011,402,314342,314342
2011,403,279994,279994
2011,404,182389,182389
2011,405,86567,86567
2011,406,67346,67346
2011,407,144343,144343
2011,497,6,6
2011,499,2765,2765
2011,501,124397,124397
2011,502,67499,67499
2011,503,132510,132510
2011,504,176271,176271
2011,505,385771,385771
2011,506,352329,352329
2011,507,282075,282075
2011,508,168516,168516
2011,509,102628,102628
2011,597,413,413
2011,599,6693,6693
2011,601,171884,171884
2011,602,111667,111667
2011,603,28954,28954
2011,604,87887,87887
2011,697,115,115
2011,699,975,975
2011,701,95208,95208
2011,702,65758,65758
2011,797,110,110
2011,799,1727,1727
2011,801,290305,290305
2011,897,3,3
2011,899,570,570
2011,901,2504,2504
2011,997,3,3
2011,999,23,23